0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.576 | MinDCF = 0.567
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.572
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.292 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.602 | MinDCF = 0.585
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.01 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.592
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 5.156 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.58 | MinDCF = 0.569
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.574
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.269 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.607 | MinDCF = 0.586
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.016681005372000592 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.593
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 5 | ActDCF = 5.201 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.585 | MinDCF = 0.573
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.574
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.226 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.603 | MinDCF = 0.585
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.027825594022071243 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.596
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 5 | ActDCF = 5.251 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.59 | MinDCF = 0.573
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.575
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.199 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.601 | MinDCF = 0.585
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.046415888336127774 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.596
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 5 | ActDCF = 5.243 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.589 | MinDCF = 0.572
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.574
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 5.158 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Normalized | Uncalibrated | PCA = 5 | ActDCF = 0.598 | MinDCF = 0.584
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.0774263682681127 | Normalized | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 0.593
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 5 | ActDCF = 5.241 | MinDCF = 1.0
0.5 | 0.1 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Calibrated | PCA = 5 | ActDCF = 1.0 | MinDCF = 1.0
0.5 | 0.5 | SVM Linear | K = 1.0 | C = 0.1291549665014884 | Raw | Uncalibrated | PCA = 5 | ActDCF = 0.589 | MinDCF = 0.573
